review,sentiment,cool_mode_review
"This movie was amazing, I loved it!",positive,"This movie was amazing, I loved it!"
"Absolutely terrible, waste of time.",negative,"Absolutely terrible, of time."
"Great film, would watch again!",positive,"Great film, would watch again!"
Awful plot and bad acting.,negative,plot and bad acting.
The best movie I have seen in years!,positive,The best movie I have seen in years!
"Horrible, would not recommend.",negative,"Horrible, would not recommend."
"Fantastic storyline, highly recommend it.",positive,"Fantastic storyline, highly recommend it."
Worst movie experience ever.,negative,movie experience ever.
Loved the cinematography and acting.,positive,Loved the cinematography and acting.
Disappointing script and poor execution.,negative,script and execution.
